indoors,created_at,session_id,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name
0,2016-08-28T14:37:35.401Z,2016-08-28T14:37:06.399Z,51.47113494,-0.453244625,4,20.50544843,319.5703125,0.289999992,-0.175079346,100.877182,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:36.401Z,2016-08-28T14:37:06.399Z,51.47113401,-0.453250408,4,20.30760931,290.7421875,0.620000005,-0.217460632,100.8776855,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:37.401Z,2016-08-28T14:37:06.399Z,51.47113246,-0.45326231,4,19.98074575,264.0234375,0.850000024,-0.217460632,100.8776855,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:38.401Z,2016-08-28T14:37:06.399Z,51.47113246,-0.45326231,4,19.98074575,268.9453125,0,-0.272960663,100.8783493,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:39.401Z,2016-08-28T14:37:06.399Z,51.47113246,-0.45326231,4,19.98074575,183.515625,0,-0.272960663,100.8783493,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:40.401Z,2016-08-28T14:37:06.399Z,51.47113246,-0.45326231,4,19.98074575,183.515625,0,-0.272960663,100.8783493,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:41.613Z,2016-08-28T14:37:06.399Z,51.47112366,-0.453274548,4,18.91035865,315,0.289999992,-0.30424118,100.8787231,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:42.401Z,2016-08-28T14:37:06.399Z,51.47112366,-0.453274548,4,18.91035865,315,0,-0.30424118,100.8787231,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:43.551Z,2016-08-28T14:37:06.399Z,51.47112366,-0.453274548,4,18.91035865,315,0,-0.30424118,100.8787231,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:44.401Z,2016-08-28T14:37:06.399Z,51.47112366,-0.453274548,4,18.91035865,315,0,-0.275985718,100.8783875,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:45.401Z,2016-08-28T14:37:06.399Z,51.47112366,-0.453274548,4,18.91035865,315,0,-0.275985718,100.8783875,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:46.401Z,2016-08-28T14:37:06.399Z,51.47112366,-0.453274548,4,18.91035865,315,0,-0.254795074,100.8781357,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:47.401Z,2016-08-28T14:37:06.399Z,51.47112366,-0.453274548,4,18.91035865,315,0,-0.24066925,100.8779678,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:48.401Z,2016-08-28T14:37:06.399Z,51.47112366,-0.453274548,4,18.91035865,275.625,0,-0.24066925,100.8779678,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:49.401Z,2016-08-28T14:37:06.399Z,51.47111997,-0.453289552,4,18.48306454,235.8984375,0.289999992,-0.24066925,100.8779678,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:50.401Z,2016-08-28T14:37:06.399Z,51.47112052,-0.453289552,4,18.54362186,286.875,0.180000007,-0.280021667,100.8784409,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:51.401Z,2016-08-28T14:37:06.399Z,51.47111943,-0.453295335,4,18.44985739,258.3984375,0.74000001,-0.280021667,100.8784409,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:52.401Z,2016-08-28T14:37:06.399Z,51.47111754,-0.453303298,4,18.31125722,249.609375,0.360000014,-0.280021667,100.8784409,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:53.401Z,2016-08-28T14:37:06.399Z,51.47111583,-0.453308159,4,18.3868688,294.2578125,0.360000014,-0.280021667,100.8784409,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:54.401Z,2016-08-28T14:37:06.399Z,51.47111583,-0.453308159,4,18.3868688,81.9140625,0,-0.384460449,100.8796844,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:55.401Z,2016-08-28T14:37:06.399Z,51.47111495,-0.453314362,4,18.13397853,139.5703125,0.170000002,-0.384460449,100.8796844,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:56.401Z,2016-08-28T14:37:06.399Z,51.47111469,-0.453314446,4,18.10576106,64.3359375,0.270000011,-0.384460449,100.8796844,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:57.401Z,2016-08-28T14:37:06.399Z,51.47111306,-0.453315619,4,17.90680432,239.4140625,0.230000004,-0.384460449,100.8796844,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:58.401Z,2016-08-28T14:37:06.399Z,51.4711136,-0.453318218,4,17.90169878,57.3046875,0.270000011,-0.479312897,100.8808212,bus stop,0-2,walking,,United Kingdom
0,2016-08-28T14:37:59.401Z,2016-08-28T14:37:06.399Z,51.47111465,-0.453319056,4,17.99284558,18.984375,0.300000012,-0.479312897,100.8808212,bus stop,0-2,walking,,United Kingdom
